sale_id,store_id,product_group,items_sold,sale_amount,payment_type
5125,502,Apparel,5,424.44,Card
5126,502,Electronics,2,65.47,Card
5127,502,Grocery,6,453.32,Mobile
5128,502,Grocery,6,415.0,Cash
5129,502,Grocery,2,72.19,Card
5130,502,Outdoor,3,109.48,Mobile
5131,502,Electronics,1,34.63,Cash
5132,502,Home,2,114.54,Card
5133,502,Grocery,2,52.21,Mobile
5134,502,Apparel,5,143.66,Cash
5135,502,Home,5,180.11,Mobile
5136,502,Grocery,5,66.06,Cash
5137,503,Apparel,2,42.38,Card
5138,503,Home,5,188.62,Mobile
5139,503,Electronics,1,84.3,Cash
5140,503,Grocery,5,75.64,Cash
5141,503,Home,2,134.11,Card
5142,503,Grocery,5,263.83,Mobile
5143,503,Grocery,1,64.81,Cash
5144,503,Home,6,455.25,Card
5145,503,Electronics,1,60.31,Cash
5146,503,Home,1,33.85,Cash
5147,503,Home,2,58.46,Cash
5148,503,Home,2,111.12,Cash
