book_id,title,branch_id,genre,pages
1094,Hidden Signals Expanded,301,Fiction,558
1095,The Paper Bridge New Edition,301,Fiction,171
1096,Hidden Signals Revised,301,Biography,235
1097,Simple Systems New Edition,301,Biography,533
1098,A Better Measure New Edition,301,Science,447
1099,Small Worlds,302,Science,541
1100,Blue Horizon Illustrated,302,History,370
1101,The Useful Unknown Illustrated,302,History,540
1102,Signals and Stories Illustrated,302,History,610
1103,Open Roads New Edition,302,Science,282
1104,The Data Trail Illustrated,302,Fiction,470
1105,A Measure of Time Expanded,302,Science,144
1106,Open Roads Expanded,302,Fiction,603
1107,Across the Fields,303,History,609
1108,Hidden Signals Expanded,303,Mystery,181
1109,A Better Measure Illustrated,303,Technology,393
1110,Signals and Stories New Edition,303,Science,275
1111,The Last Orchard Expanded,303,Science,265
1112,The Cedar Room Expanded,303,History,351
1113,The Paper Bridge Illustrated,303,Technology,327
1114,Open Roads New Edition,303,Technology,221
1115,Quiet Machines New Edition,303,Technology,606
1116,The Glass Map New Edition,303,Biography,391
1117,Northern Skies New Edition,303,Technology,617
1118,Prairie Light New Edition,303,History,377
1119,Learning to See New Edition,303,History,534
1120,The Glass Map,304,Biography,566
1121,The Last Orchard New Edition,304,Mystery,392
1122,Simple Systems New Edition,304,Technology,455
1123,Across the Fields New Edition,304,History,508
1124,Small Worlds Illustrated,304,Science,244
1125,Quiet Machines Revised,304,Mystery,212
1126,The Paper Bridge Revised,304,Science,362
1127,The Useful Unknown Expanded,304,Fiction,120
1128,Learning to See Expanded,304,History,525
1129,The Last Orchard Revised,304,Technology,333
1130,Blue Horizon Expanded,304,Technology,318
1131,The Last Orchard Expanded,304,Mystery,447
1132,Simple Systems Expanded,304,Technology,514
1133,Ordinary Wonders Expanded,304,Science,194
1134,Quiet Machines New Edition,304,Science,386
1135,Prairie Light New Edition,304,Mystery,366
1136,The Last Orchard New Edition,304,Science,231
1137,The Glass Map,401,History,309
1138,Patterns in Stone Expanded,401,History,600
1139,Open Roads New Edition,401,Science,444
1140,Blue Horizon Expanded,401,History,189
1141,The Glass Map Illustrated,401,Mystery,194
1142,The Useful Unknown Expanded,401,Biography,125
1143,The Long River Revised,401,History,588
1144,Patterns in Stone Illustrated,401,Science,501
1145,Northern Skies Revised,401,History,519
1146,The Cedar Room Revised,401,Fiction,591
1147,Hidden Signals Revised,401,Biography,261
1148,Northern Skies Illustrated,401,Mystery,353
1149,Quiet Machines,402,History,133
1150,Blue Horizon Expanded,402,Mystery,355
1151,The Data Trail Illustrated,402,Technology,288
1152,Open Roads Illustrated,402,Technology,220
1153,Ordinary Wonders Illustrated,402,Fiction,511
1154,The Long River New Edition,402,History,350
1155,Open Roads Expanded,402,Science,488
1156,Simple Systems Revised,402,Biography,342
1157,Hidden Signals Expanded,402,History,221
1158,Winter Garden Expanded,402,Technology,120
1159,The Second Question Revised,402,Biography,255
1160,Across the Fields New Edition,402,Mystery,586
1161,Hidden Signals New Edition,402,Mystery,608
1162,Open Roads Revised,402,History,187
1163,Ordinary Wonders Revised,402,Science,365
1164,Northern Skies Illustrated,402,Technology,207
1165,Winter Garden Revised,402,Mystery,573
1166,Ordinary Wonders Expanded,402,Technology,469
1167,Blue Horizon New Edition,402,Fiction,438
